# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.11.2

killstreak::721e59e6-bc63-36d3-89df-6302082c7737, long, 0000000000000000
killstreak::ee977592-d2c7-37fb-91ca-04087a5b4bb8, long, 0000000000000002
killstreak::entity:0bbbf831-264d-4be5-874e-8e439ca44d8d, long, 0000000000000000
killstreak::entity:1b0ad1df-ffdb-4e04-8283-531488eb67ca, long, 0000000000000000
killstreak::entity:06d993ca-6c90-4be0-a785-a0ef4eff76a6, long, 0000000000000000
killstreak::entity:7a2818f9-46e6-43c7-9469-5450fc046bcd, long, 0000000000000000
killstreak::entity:17eec40c-c524-46d4-a3b0-925be39329d4, long, 0000000000000000
killstreak::entity:48fd1f46-e86b-4edb-9fa9-0470130bd4fc, long, 0000000000000000
killstreak::entity:0113e2ce-deb2-42c6-b583-4242eed8edb2, long, 0000000000000000
killstreak::entity:513b97b6-99d2-4178-bb74-ab47a1f45ed5, long, 0000000000000000
killstreak::entity:01630acf-f102-43f6-bee9-5baf142ec79f, long, 0000000000000000
killstreak::entity:7226e0a4-bb4e-4add-afdf-d06f415718eb, long, 0000000000000000
killstreak::entity:72801380-4aa9-4d00-9529-a6a063dae0b9, long, 0000000000000000
killstreak::entity:a90c7b07-0e9f-439e-b22e-48054c872be5, long, 0000000000000000
killstreak::entity:ad2f67c3-83f7-4456-81a4-1c4c28779cbe, long, 0000000000000000
killstreak::entity:b1900664-23e5-4cd3-8320-21d9944e630f, long, 0000000000000000
killstreak::entity:c95194db-5a8b-496b-8d4a-8cd8cbb4cbd5, long, 0000000000000000
killstreak::entity:caeb4781-7100-43af-b22f-d8b53d768371, long, 0000000000000000
killstreak::entity:d8aecb7a-ccca-472c-a9dd-a8e9f2259c35, long, 0000000000000000
killstreak::entity:ed169cbf-892f-4d49-a99f-5f2d1b808bae, long, 0000000000000000
muertes::1ca0e676-437f-38b4-9880-b5242051dc08, long, 0000000000000000
muertes::61db925b-4e90-3aaf-a9dc-d420f47037cc, long, 0000000000000000
muertes::721e59e6-bc63-36d3-89df-6302082c7737, long, 0000000000000004
muertes::93478e31-e82c-329d-b56a-7ac015d56256, long, 0000000000000000
muertes::a9757a4c-95cf-3bab-877b-a61753bf731e, long, 0000000000000000
muertes::e32c3f2b-fd82-3196-91ff-0cf75ca1fc9b, long, 0000000000000000
muertes::ed2490a3-2ce4-3bad-87d5-96bd8001fab5, long, 0000000000000000
muertes::ee977592-d2c7-37fb-91ca-04087a5b4bb8, long, 0000000000000000
vidas::1ca0e676-437f-38b4-9880-b5242051dc08, long, 0000000000000003
vidas::19e112d8-3aa3-360d-a075-034f6c23dc0b, long, 0000000000000000
vidas::61db925b-4e90-3aaf-a9dc-d420f47037cc, long, 0000000000000003
vidas::721e59e6-bc63-36d3-89df-6302082c7737, long, 0000000000000002
vidas::93478e31-e82c-329d-b56a-7ac015d56256, long, 0000000000000003
vidas::a9757a4c-95cf-3bab-877b-a61753bf731e, long, 0000000000000003
vidas::b7765f08-4259-3077-8f47-ee4c191a1922, double, BFF0000000000000
vidas::e32c3f2b-fd82-3196-91ff-0cf75ca1fc9b, long, 0000000000000003
vidas::ed2490a3-2ce4-3bad-87d5-96bd8001fab5, long, 0000000000000003
vidas::ee977592-d2c7-37fb-91ca-04087a5b4bb8, long, 0000000000000003

